JobTitle,CompanyName,ApprovedOn,SalaryMin,SalaryMax,PrettySalary,Skills,WorkingLocations,JobType,JobLevel,CompanySize,LanguageSelected
Planning and Developer,"Mufg Bank, Ltd., Ho Chi Minh City Branch",3/1/2022,1000,1500,Thương lượng,"Project Management,Systems Implementation,Software Process Development,Visual Studio 2015;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Senior Fullstack Engineer (Java),Công Ty Cổ Phần Vinbrain,2/10/2022,2000,3000,Thương lượng,"Java,Python,JavaScript,React,Full Stack Development;","Hà Nội,Hồ Chí Minh",toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Mobile Engineer (Android/flutter),"Toshiba Software Development (Vietnam) Co., Ltd",2/10/2022,600,2000,Thương lượng,"OOP,Java,Android,Flutter Framework,Computer Science;",Hà Nội,toàn thời gian,Mới tốt nghiệp/Thực tập sinh,100-499 Nhân viên,Bất kỳ
IT Business Architect (Kiến Trúc Sư Nghiệp Vụ) - Hà Nội,VPBank - Https://tuyendung.vpbank.com.vn/,2/10/2022,1,1,Thương lượng,"Finance Service,Information System,IFRS,Workflow,Document Management;",Hà Nội,toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
Back-end Developers (PHP/ Magento) Recruitment,"Damda CO., LTD.",2/11/2022,1000,2000,$1000 - $2000,"PHP,My SQL,Magento,Magento Backend;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Implementation Consultant for APM (Appdynamics) – (Open to Candidates for Upskilling/ Reskilling),Capgemini Vietnam,2/9/2022,1000,1000,Thương lượng,"IT Project Management,Software Development,Jira,Windows,Linux;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Mobile Developer (iOS/Android),Samsung Electronics HCMC CE Complex,3/4/2022,900,3000,$900 - $3000,"Android Native,IOS Native,Kotlin,Java,Swift;",Hồ Chí Minh,toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
"Front End Engineer (React JS, AngularJS)",Công Ty Cổ Phần VinBrain,2/10/2022,500,1000,Thương lượng,"ReactJS,Front End,AngularJS,HTML,JavaScript;","Hà Nội,Hồ Chí Minh",toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
QC Engineer,Navigos Group,2/16/2022,600,800,Thương lượng,"Manual Testing,QC,QA,API Testing,Agile Software;",Hồ Chí Minh,toàn thời gian,Nhân viên,500-999 Nhân viên,Bất kỳ
Chuyên Viên Chính Quản Trị Rủi Ro Vận Hành Mảng Ngân Hàng Số - Phòng Quản Trị Rủi Ro Vận Hành - Khối Quản Trị Rủi Ro,Ngân Hàng TMCP Tiên Phong (Tpbank),2/28/2022,500,500,Thương lượng,"Quản Trị Rủi Ro,Phân Tích,Tiếng Anh,Giao Tiếp,Rủi Ro Ngân Hàng Số;",Hà Nội,toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
Graphic & UI/UX Designer,Amigo Fintech,2/25/2022,300,2000,Thương lượng,"Graphic,Mobile Android,Figma,Illustrator;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
